Location ID,Location,Date (Year Month),Value in F,Rank,1901-2000 Mean in F,Anomaly (1901-2000 base period)
100,Alabama,201001,40,15,45.1,-5.1
200,Arizona,201001,42.2,82,40.7,1.5
300,Arkansas,201001,36.5,24,39.3,-2.8
400,California,201001,45.2,102,42.3,2.9
500,Colorado,201001,26.1,89,23.7,2.4
600,Connecticut,201001,27,81,25.4,1.6
700,Delaware,201001,33.4,65,33.3,0.1
800,Florida,201001,52.5,10,57.8,-5.3
900,Georgia,201001,41.8,19,46.1,-4.3
1000,Idaho,201001,28.2,116,22,6.2
1100,Illinois,201001,21.5,28,25.3,-3.8
1200,Indiana,201001,23.9,39,26.5,-2.6
1300,Iowa,201001,13.6,26,17.7,-4.1
1400,Kansas,201001,27.2,37,28.6,-1.4
1500,Kentucky,201001,29.8,22,33.6,-3.8
1600,Louisiana,201001,45.6,22,49.3,-3.7
1700,Maine,201001,20.3,117,13.2,7.1
1800,Maryland,201001,32.2,59,32.4,-0.2
1900,Massachusetts,201001,25.9,81,24.1,1.8
2000,Michigan,201001,21.3,85,18.1,3.2
2100,Minnesota,201001,8.8,76,6.5,2.3
2200,Mississippi,201001,40.6,22,45.1,-4.5
2300,Missouri,201001,25.5,20,29.4,-3.9
2400,Montana,201001,20.6,76,16.7,3.9
2500,Nebraska,201001,22.1,56,22.1,0
2600,Nevada,201001,32.9,89,29.9,3
2700,New Hampshire,201001,21.1,103,17.1,4
2800,New Jersey,201001,31.2,83,29.6,1.6
2900,New Mexico,201001,33.6,58,33.6,0
3000,New York,201001,21.8,83,19.8,2
3100,North Carolina,201001,36.6,26,40,-3.4
3200,North Dakota,201001,9.7,76,6.4,3.3
3300,Ohio,201001,25,42,26.9,-1.9
3400,Oklahoma,201001,35.2,38,36.5,-1.3
3500,Oregon,201001,36.9,120,30.2,6.7
3600,Pennsylvania,201001,25.7,68,25.3,0.4
3700,Rhode Island,201001,28.4,77,27.2,1.2
3800,South Carolina,201001,40.7,22,44.6,-3.9
3900,South Dakota,201001,14.8,53,15,-0.2
4000,Tennessee,201001,32.8,20,37.2,-4.4
4100,Texas,201001,44.4,44,45.4,-1
4200,Utah,201001,27,76,25.3,1.7
